,Unnamed: 0,theta,theta_dot,x,x_dot,tempo,forca
0,0,-0.021,0.2827583,3.0100000000116145e-07,-0.20302093,0.0,9.992089176299999
1,1,-0.010511332,-0.014979301,-0.004060117699999999,-0.007672168,0.020100502512562814,-9.9726971883
2,2,-0.010810918,0.27436873,-0.004213560999999999,-0.20264181,0.04020100502512563,9.988291764495
3,3,-0.0053235437,-0.021704283,-0.008266397129999999,-0.0073672887,0.06030150753768844,-9.976562046495
4,4,-0.0057576294,0.26929426,-0.0084137429,-0.20241249,0.08040201005025126,9.984666150195
5,5,-0.0003717441,-0.02519908,-0.0124619926,-0.0072088507,0.10050251256281408,-9.980214565695
6,6,-0.0008757257,0.26736653,-0.0126061698,-0.20232546,0.12060301507537688,9.981126079155
7,7,0.004471605,-0.025592474,-0.016652679,-0.0071910303,0.1407035175879397,-9.983753654654999
8,8,0.0039597554,0.26849794,-0.0167965,-0.20237683,0.16080402010050251,9.9775863099
9,9,0.009329714,-0.022933435,-0.020844036,-0.007311604,0.18090452261306533,-9.987267470399999
10,10,0.008871046,0.27267846,-0.020990268,-0.2025661,0.20100502512562815,9.9739560921
11,11,0.014324615,-0.01719336,-0.025041591000000002,-0.007571846,0.22110552763819097,-9.9908442876
12,12,0.013980747,0.27997452,-0.025193028,-0.20289627,0.24120603015075376,9.970145519399999
13,13,0.019580238,-0.008266345,-0.029250952999999996,-0.007976514,0.2613065326633166,9.9658488171
14,14,0.019414911,-0.29470772,-0.029410483,0.18685924,0.2814070351758794,-9.9943667835
15,15,0.013520756,0.004034591,-0.025673297999999997,-0.00853405,0.30150753768844224,9.970437278999999
16,16,0.013601448,-0.2843519,-0.025843980000000003,0.18639141,0.32160804020100503,-9.9902739651
17,17,0.00791441,0.012589623,-0.02211615,-0.008921864,0.3417085427135678,-9.9862470279
18,18,0.008166202,0.3077591,-0.022294587999999997,-0.20415641,0.36180904522613067,9.97448708025
19,19,0.014321385,0.017662719,-0.026377717000000002,-0.009151775,0.38190954773869346,9.96983447625
20,20,0.014674639,-0.27046746,-0.026560751,0.1857619,0.4020100502512563,-9.9910403967
21,21,0.00926529,0.026807562,-0.022845513999999997,-0.009566358,0.4221105527638191,9.9736294482
22,22,0.009801441,-0.26293772,-0.023036841,0.18542151,0.44221105527638194,-9.98757360315
23,23,0.0045426865,0.0328205,-0.019328411,-0.009838971,0.4623115577889447,9.977140537650001
24,24,0.0051990966,-0.2584257,-0.019525190999999997,0.18521754,0.4824120603015075,-9.98426440275
25,25,3.058232e-05,0.035892546,-0.015820839599999997,-0.009978245,0.5025125628140703,9.98046498075
26,26,0.00074843323,-0.25678074,-0.016020405,0.18514326,0.5226130653266332,-9.98103356415
27,27,-0.0043871813,0.03613817,-0.012317539399999999,-0.009989361,0.542713567839196,-9.977256034349999
28,28,-0.0036644181,0.32743368,-0.0125173267,-0.20504813,0.5628140703517588,9.98314667295
29,29,0.0028842553,0.033597406,-0.016618289,-0.009874197,0.5829145728643216,9.97836639855
30,30,0.0035562036,-0.25817412,-0.016815773,0.18520628,0.6030150753768845,-9.98307567675
31,31,-0.0016072787,0.035628367,-0.013111647399999999,-0.009966265,0.6231155778894473,-9.97930694475
32,32,-0.0008947114,0.32780376,-0.013310973,-0.20506513,0.6432160804020101,9.98113872855
33,33,0.0056613637,0.034838803,-0.017412275999999997,-0.009930453,0.6633165829145728,9.97631149845
34,34,0.0063581397,-0.25605255,-0.017610885,0.18510985,0.6834170854271356,-9.98510111445
35,35,0.0012370888,0.038629048,-0.013908687199999999,-0.010102293,0.7035175879396985,9.97957947195
36,36,0.0020096698,-0.2536633,-0.014110733,0.1850019,0.7236180904522613,-9.981952831949998
37,37,-0.0030635963,0.039652824,-0.0104106953,-0.010148693,0.7437185929648241,-9.97823443155
38,38,-0.00227054,0.33136758,-0.010613669099999999,-0.20522659,0.7638190954773869,9.982137790349999
39,39,0.0043568118,0.037969504,-0.0147182007,-0.010072381,0.7839195979899498,9.977278642649999
40,40,0.005116202,-0.25333562,-0.014919648,0.18498683,0.8040201005025126,-9.98420568255
41,41,4.948932e-05,0.040956642,-0.011219911999999999,-0.010207807,0.8241206030150754,9.98045178405
42,42,0.00086862216,-0.25171068,-0.011424067999999999,0.18491344,0.8442211055276382,-9.98112195135
43,43,-0.004165591,0.041246112,-0.007725799299999999,-0.010220909,0.864321608040201,-9.97741981665
44,44,-0.003340669,0.33261186,-0.0079302175,-0.20528288,0.8844221105527639,9.9829118433
45,45,0.003311568,0.038877316,-0.012035875,-0.010113538,0.9045226130653267,9.9780508542
46,46,0.0040891143,-0.25275895,-0.0122381458,0.18496077,0.9246231155778895,-9.9834622173
47,47,-0.0009660645,0.041210957,-0.00853893048,-0.010219332,0.9447236180904522,9.9811952493
48,48,-0.00014184533,-0.2517766,-0.0087433171,0.18491645,0.964824120603015,-9.98038375455
49,49,-0.0051773777,0.04086157,-0.005044987799999999,-0.010203467,0.9849246231155779,-9.97667108295
50,50,-0.0043601464,0.3319065,-0.0052490574,-0.2052508,1.0050251256281406,9.9836487102
51,51,0.0022779836,0.037851788,-0.00935407316,-0.010067052,1.0251256281407035,9.978813193799999
52,52,0.0030350194,-0.25411153,-0.009555414199999999,0.18502216,1.0452261306532664,-9.982697780549998
53,53,-0.0020472114,0.039527137,-0.005854970999999999,-0.010142997,1.065326633165829,-9.97898306295
54,54,-0.0012566687,0.33156344,-0.006057831,-0.20523553,1.085427135678392,9.98140153725
55,55,0.0053746,0.03848449,-0.0101625416,-0.010095715,1.105527638190955,9.97652489625
